Schischullift II;6778;;;;;;2006;nein;;Schlepplift mit niedriger Seilführung;keine;;;1;nein;;;125;601;610;9;430;4
Sprungschanze Absam;4847;6060;Absam;;;;;nein;;Schlepplift mit niedriger Seilführung;;;;;nein;;;100;;;40;400;
Christlum II aufg.;1292;6215;Achenkirch;;;;;ja;2002;Schlepplift;keine;;6,00;2;nein;kein;keine;1.700;1.250;1.800;550;1.200;660
Brandtallift;1294;6215;Achenkirch;;;;1982;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;1.100;1.130;1.430;300;1.424;427
Nordhanglift;1295;6215;Achenkirch;;;;1983;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;1.121;1.107;1.385;278;1.431;398
Groamatboden I;1296;6215;Achenkirch;;;;1990;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;60;1.250;1.256;6;675;4
Groamatboden II;1297;6215;Achenkirch;;;;1991;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;60;1.278;1.283;6;675;5
Übungslift-Tal I;1301;6215;Achenkirch;;;;1971;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;92;905;916;11;500;5
Christlum I Doppelseil aufg.;5120;6215;Achenkirch;;;;1971;ja;;Doppelseilumlaufbahn;;;;;nein;;;1.700;;;550;1.200;660
Christlum II Doppelseil aufg.;5121;6215;Achenkirch;;;;;ja;;Doppelseilumlaufbahn;;;;;nein;;;1.700;;;550;1.200;660
Mosenlift (Christlum III);1293;6215;Achenkirch;;;;1970;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;874;1.276;1.491;215;1.211;260
Almgasthof aufg.;1299;6215;Achenkirch;;;;;ja;;Schlepplift;keine;;6,00;2;nein;kein;keine;495;;;96;226;22
Weinhauslift aufg.;1300;6215;Achenkirch;;;;;ja;1994;Schlepplift;keine;;6,00;2;nein;kein;keine;300;;;78;720;56
Snowtubinganlage Achenkirch;4849;6215;Achenkirch;;;;2001;nein;;Schlepplift mit niedriger Seilführung;;;;;nein;;;70;;;18;514;
Sonnberg aufg.;1298;6215;Achenkirch;;;;;ja;2002;1er Sessellift fix geklemmt;keine;;7,00;1;nein;kein;keine;783;;;290;500;145
DSL Christlum I;1290;6215;Achenkirch;;;;1971;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;1.226;946;1.285;339;900;305
Christlum II Doppelsessel;1291;6215;Achenkirch;;;;1973;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;1.700;1.234;1.748;514;900;463
CH Express;1289;6215;Achenkirch;;;;1990;nein;;4er Sessellift kuppelbar;teilweise;;10,00;;nein;Bubble;keine;1.427;945;1.300;355;2.400;852
6er SL Cabrio Flitzer;1737;6215;Achenkirch;;;;2002;nein;;6er Sessellift kuppelbar;keine;;12,00;6;nein;kein;keine;1.607;1.233;1.726;492;2.800;1.378
Kapellenlift;418;6071;Aldrans;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;239;;;27;417;11
Wiedersbergerhorn IIB aufg.;5123;6236;Alpbach;;;;;ja;;Zweiseilumlaufbahn;;;;;nein;;;1.417;;;500;800;
Galtenberghauslift aufg.;4851;6236;Alpbach;;;;;ja;;Schlepplift;;;;;nein;;;813;;;241;989;
Muldenlift I;786;6236;Alpbach;;;;1981;nein;;Tellerschlepplift;keine;;4,00;1;nein;kein;keine;289;1.825;1.890;65;720;47
Muldenlift II aufg.;791;6236;Alpbach;;;;;ja;2002;Tellerschlepplift;keine;;4,00;1;nein;kein;keine;420;1.778;1.900;122;720;88
Böglerlift;792;6236;Alpbach;;;;1990;nein;;Tellerschlepplift;keine;;4,00;1;nein;kein;keine;324;987;1.047;60;720;43
Hornbodenlift;785;6236;Alpbach;;;;1991;nein;;Tellerschlepplift;keine;;4,00;1;nein;kein;keine;210;1.800;1.845;45;720;32
Brandegglift aufg.;787;6236;Alpbach;;;;;ja;2000;Schlepplift;keine;;6,00;2;nein;kein;keine;570;1.700;1.900;200;900;180
Hornlift 2000 aufg.;788;6236;Alpbach;;;;;ja;1999;Schlepplift;keine;;6,00;2;nein;kein;keine;1.085;1.085;1.632;300;1.600;480
Galtenberglift;789;6236;Alpbach;;;;1972;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;860;1.019;1.250;231;890;206
